cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;16/02/2024;351;0,1;PETR4;405,93;20;21/01/2024;2025-12-04
V;Futuro;Normal;18/02/2024;204;0;WEGE3;192,74;20;21/01/2024;2025-12-04
C;Futuro;Normal;25/02/2024;235;0,05;SUZB3;81,16;20;21/01/2024;2025-12-04
V;Futuro;Normal;24/02/2024;288;0,05;CIEL3;61,4;20;21/01/2024;2025-12-04
V;Futuro;Normal;17/02/2024;353;0,06;RENT3;178,5;20;21/01/2024;2025-12-04
V;Futuro;Normal;16/02/2024;176;0,04;MGLU3;132,53;20;21/01/2024;2025-12-04
V;Futuro;Normal;23/02/2024;112;0,07;EGIE3;317,72;20;21/01/2024;2025-12-04
C;Futuro;Normal;15/02/2024;460;0,02;LREN3;285,17;20;21/01/2024;2025-12-04
V;Futuro;Normal;22/02/2024;48;0,09;ABEV3;307,36;20;21/01/2024;2025-12-04
C;Futuro;Normal;22/02/2024;122;0,01;VVAR3;378,17;20;21/01/2024;2025-12-04
C;Futuro;Normal;19/02/2024;175;0,05;EGIE3;207,3;20;21/01/2024;2025-12-04
V;Futuro;Normal;15/02/2024;239;0,08;ENBR3;349,82;20;21/01/2024;2025-12-04
C;Futuro;Normal;23/02/2024;24;0,04;RENT3;429,1;20;21/01/2024;2025-12-04
V;Futuro;Normal;15/02/2024;421;0,07;WEGE3;419,58;20;21/01/2024;2025-12-04
V;Futuro;Normal;17/02/2024;299;0,06;BBAS3;305,98;20;21/01/2024;2025-12-04
C;Futuro;Normal;25/02/2024;462;0,07;GGBR4;421,06;20;21/01/2024;2025-12-04
