cv;merc;tipo;vencto;qted;txop;mercadoria;cotacao;n_nota;data_de_pregao;data_de_insercao
V;Futuro;Normal;02/02/2024;275;0,09;CIEL3;185,73;1;02/01/2024;2025-12-04
C;Futuro;Normal;06/02/2024;108;0,07;LREN3;166,59;1;02/01/2024;2025-12-04
V;Futuro;Normal;28/01/2024;273;0,02;LREN3;293,56;1;02/01/2024;2025-12-04
C;Futuro;Normal;04/02/2024;493;0,04;ABEV3;421,65;1;02/01/2024;2025-12-04
V;Futuro;Normal;28/01/2024;337;0,08;MGLU3;348,86;1;02/01/2024;2025-12-04
V;Futuro;Normal;06/02/2024;97;0,02;PETR4;402,35;1;02/01/2024;2025-12-04
V;Futuro;Normal;01/02/2024;308;0,07;BRFS3;412,16;1;02/01/2024;2025-12-04
C;Futuro;Normal;02/02/2024;178;0,06;MGLU3;405,38;1;02/01/2024;2025-12-04
C;Futuro;Normal;02/02/2024;262;0,01;EGIE3;190,79;1;02/01/2024;2025-12-04
C;Futuro;Normal;03/02/2024;355;0,1;ITUB4;467,04;1;02/01/2024;2025-12-04
