cv;merc;cotacao;vencto;qted;txop;mercadoria;tipo;n_nota;data_de_pregao;data_de_insercao
V;Futuro;121,92;07/02/2024;269;0,03;WEGE3;Normal;7;08/01/2024;2025-12-03
V;Futuro;145,08;03/02/2024;29;0,03;RENT3;Normal;7;08/01/2024;2025-12-03
C;Futuro;315,67;02/02/2024;247;0,02;BBDC4;Normal;7;08/01/2024;2025-12-03
C;Futuro;365,7;07/02/2024;455;0,06;MGLU3;Normal;7;08/01/2024;2025-12-03
C;Futuro;247,71;09/02/2024;439;0,01;PETR4;Normal;7;08/01/2024;2025-12-03
V;Futuro;319,99;08/02/2024;13;0,04;ABEV3;Normal;7;08/01/2024;2025-12-03
V;Futuro;227,97;06/02/2024;27;0,01;BRFS3;Normal;7;08/01/2024;2025-12-03
C;Futuro;470,5;06/02/2024;143;0,09;BBDC4;Normal;7;08/01/2024;2025-12-03
C;Futuro;290,88;07/02/2024;282;0,04;RENT3;Normal;7;08/01/2024;2025-12-03
C;Futuro;301,81;10/02/2024;148;0,02;B3SA3;Normal;7;08/01/2024;2025-12-03
V;Futuro;74,88;09/02/2024;176;0,04;WEGE3;Normal;7;08/01/2024;2025-12-03
C;Futuro;464,3;08/02/2024;392;0,05;WEGE3;Normal;7;08/01/2024;2025-12-03
V;Futuro;431,73;05/02/2024;171;0,08;WEGE3;Normal;7;08/01/2024;2025-12-03
V;Futuro;408,97;05/02/2024;339;0,02;PETR4;Normal;7;08/01/2024;2025-12-03
